idx1,idx2,distance,cell_id_1,cell_id_2,area_1,area_2,perimeter_1,perimeter_2,roundness_1,roundness_2,eccentricity_1,eccentricity_2,solidity_1,solidity_2,major_axis_length_1,major_axis_length_2,minor_axis_length_1,minor_axis_length_2,aspect_ratio_1,aspect_ratio_2,elongation_1,elongation_2,equivalent_diameter_1,equivalent_diameter_2,nn_dist_1_1,nn_dist_1_2,nn_dist_2_1,nn_dist_2_2,nn_dist_3_1,nn_dist_3_2,local_density_1,local_density_2,neighbor_area_ratio_mean_1,neighbor_area_ratio_mean_2,neighbor_roundness_mean_1,neighbor_roundness_mean_2,ransac_inlier,residual_px
1147,1104,0.17758878887150234,1148,1105,443.0,456.0,77.94112549695429,79.35533905932738,0.9163897956606732,0.9099602126429975,0.6606705866434247,0.672785415052365,0.9588744588744589,0.96,27.47558909869173,28.097099679116912,20.625263839322386,20.787292899766555,1.3321327335609203,1.3516478463356068,0.24932405397253254,0.2601623250382441,23.74963406702674,24.095585330081406,1.0907794578057841,0.8713224691140828,1.1907143455974039,1.1262022453844187,1.468221775798581,1.1812570787803047,0.8000606810393425,0.9437577647963061,0.6320541760722348,0.847953216374269,0.749303818790756,0.840953629557573,True,1.7808147318724554
1157,1114,0.18434015134355214,1158,1115,393.0,410.0,74.18376618407356,75.59797974644665,0.897397093297615,0.9015157973129113,0.7524129357396473,0.7571168797745593,0.9703703703703703,0.9669811320754716,27.67417196202747,28.302814608102437,18.22874776402603,18.48964695631904,1.5181608918107774,1.5307385086890284,0.34130828597010165,0.3467205572188611,22.36924542940416,22.847936741452536,0.901841605223328,0.9273833262622259,0.9479302613603138,0.9705832068819852,1.4388242304270205,1.4005748103646558,0.9122433742249478,0.9094929205309614,1.020356234096692,1.01869918699187,0.8151333027416793,0.8493969953869748,False,2.4698540988805
1143,1098,0.18955020416216634,1144,1099,925.0,946.0,116.5685424949238,117.9827560572969,0.8554386414163333,0.8540119081362719,0.6231439915032089,0.6248762979827778,0.9747102212855637,0.9692622950819673,39.697602386691834,39.86697968637313,31.0477779481093,31.125098862485064,1.2785972140434378,1.28086274882245,0.21789286804591224,0.21927622540405567,34.318312587888485,34.70568554746418,1.463855104495333,1.3545918715026237,1.562851331484219,1.4270465431414057,1.5965822398287661,1.5517134546971854,0.6488887478944827,0.6923047309463195,0.581981981981982,0.4249471458773784,0.8436351475903292,0.8722066397192098,True,1.5118362395670368
857,815,0.19353861433901495,858,816,395.0,403.0,75.01219330881976,75.698484809835,0.8821516105714453,0.8837726080683059,0.5806641916981513,0.5597101708875375,0.9518072289156626,0.9527186761229315,25.011033317941514,25.08890611037704,20.36256187705103,20.79088637532177,1.2282851965758492,1.206726142284963,0.18585683293444466,0.17131156361088073,22.42609239636699,22.65205369339104,0.7897596515603333,0.789070630332188,1.0704077088294228,1.066515800020623,1.2046774981742923,1.1597685606539039,0.9788423683558227,0.9949077335661936,0.8734177215189873,0.8866832092638544,0.8600730345925399,0.8697558933181089,True,1.2361725314491425
490,469,0.19932065765521448,491,470,650.0,652.0,92.91168824543144,93.49747468305833,0.9461990719156563,0.9372548529777353,0.5293069121255893,0.5104302120570083,0.975975975975976,0.9716840536512668,31.273312796585977,31.10532088254514,26.533230190838584,26.748062071945665,1.1786470238133333,1.1628999812726444,0.15156957104540758,0.14008081855360532,28.76813695875796,28.812361638146328,1.1974596700019884,1.112820647291307,1.3510661953734595,1.2809847676809207,1.622078701224253,1.4986447337051152,0.7193201733929678,0.7707227801027593,0.561025641025641,0.6252556237218814,0.7688779813903878,0.768291630331778,False,3.8293546157418827
816,779,0.20021654482681078,817,780,443.0,435.0,77.59797974644667,76.18376618407356,0.9245124437237408,0.9418337393145108,0.6403925295065076,0.6448070463322945,0.9651416122004357,0.9688195991091314,27.156936881112504,26.924101494764354,20.857825362281236,20.57931281842059,1.3020023137322083,1.3083090641716923,0.23195220972112884,0.23565461144831767,23.74963406702674,23.534213434057992,1.1158094479025162,1.1560985425039503,1.225371060111922,1.1628032342294727,1.295662758792493,1.227901523366568,0.8248911981939584,0.8458320764265175,0.5680963130173062,1.0122605363984674,0.83723723120616,0.7577116832240733,True,0.25995867607538203
829,789,0.20196793135426255,830,790,670.0,684.0,99.49747468305833,100.91168824543142,0.8504730386886816,0.8440788568196304,0.6865856515745729,0.6814395108510974,0.950354609929078,0.9566433566433566,34.7456259376248,34.840250940436874,25.261770075011082,25.498689078077508,1.3754232515953084,1.3663545931226233,0.2729510724497839,0.2681255619636541,29.20737055903114,29.51094455619561,1.0156840563262126,0.9554048609444411,1.5907464632637245,1.5456490300519137,1.5922832416592483,1.5584169581436196,0.7145045293841253,0.73901257367954,0.5373134328358209,0.5487329434697855,0.8119037745617828,0.7908889567794294,False,2.3628154817595513
263,237,0.20539034916735338,264,238,406.0,406.0,85.84062043356595,85.25483399593904,0.6923890671434739,0.7019365735754175,0.8995585567316384,0.8923317796618775,0.9164785553047404,0.918552036199095,35.272697664812505,34.76845630228313,15.407120921758267,15.69378929525871,2.2893763113781787,2.215427749675925,0.5631998134033233,0.5486198996350564,22.736210219877808,22.736210219877808,1.555173293754343,1.4792188695028152,1.6986360485794205,1.6042820121165915,1.7003738192918776,1.711582138080953,0.6055488669126223,0.6256408883171886,0.8021346469622332,0.8004926108374384,0.8576978622423539,0.8561402507527612,False,3.0619232991937495
512,486,0.2080155779402259,513,487,395.0,415.0,73.94112549695429,76.18376618407356,0.9078933725076505,0.8985310386563723,0.7322605670793483,0.7340325241130539,0.9634146341463414,0.962877030162413,27.306914256471334,27.95760630162238,18.596679478531886,18.98641066710435,1.4683758080572713,1.4725061409348648,0.31897543223417313,0.32088568447998467,22.42609239636699,22.98683125324351,0.9105728637682504,0.921526697719628,1.0445902017131008,1.0019333475381498,1.41458428665601,1.3458287994489244,0.8902744587356561,0.9176307577892033,0.6590717299578058,0.7028112449799198,0.8997802286580442,0.8961054522008461,False,2.5510787159728134
372,353,0.2106309326848032,373,354,454.0,469.0,89.49747468305833,90.32590180780451,0.7122691829405544,0.7223673267752194,0.8955538566114263,0.8906991369991013,0.9380165289256198,0.9342629482071713,36.71040975236942,36.91746887083028,16.334411805881977,16.78243314666709,2.247427712037363,2.1997685644385787,0.5550468677395328,0.5454067231589799,24.04268606686374,24.436639426909572,0.874972241718425,1.049492927449084,1.0473189912903345,1.1113601902343295,1.1583117617103846,1.1686601665761438,0.9738353189757605,0.9010325966208491,0.5770925110132159,0.7889125799573561,0.8197703718645869,0.8683811255617816,False,2.945514683767269
