cell_id,area,perimeter,eccentricity,solidity,major_axis_length,minor_axis_length,orientation,centroid_y,centroid_x,roundness,pos_x_norm,pos_y_norm,axis_vec_x,axis_vec_y,x_norm,y_norm,patch_x,patch_y,patch_id,cluster_id,x,y
307,562.0,86.42640687119284,0.522640322363674,0.972318339100346,29.018646427622123,24.739942162410156,-0.17777353383568148,355.20462633451956,797.932384341637,0.9454819972404681,0.41067029559528406,0.18704824978121093,0.9842398572162925,-0.17683863680443868,0.41067029559528406,0.18704824978121093,1,0,"(0, 1)",7,797.932384341637,355.20462633451956
308,521.0,85.35533905932738,0.6348579681449199,0.9524680073126143,29.45093657250968,22.754643644825823,-0.0653929378029885,355.22456813819576,1719.5834932821497,0.8986409471994534,0.8850146645816519,0.18705875099431057,0.9978626436590255,-0.06534634182431762,0.8850146645816519,0.18705875099431057,2,0,"(0, 2)",8,1719.5834932821497,355.22456813819576
309,182.0,47.21320343559643,0.24877181342913016,0.9732620320855615,15.474246027005604,14.98776857361906,-0.005997691257651093,349.9175824175824,1328.065934065934,1.0260164292036833,0.6835130901008409,0.1842641297617601,0.9999820139037058,-0.005997655299257142,0.6835130901008409,0.1842641297617601,2,0,"(0, 2)",4,1328.065934065934,349.9175824175824
310,472.0,85.49747468305833,0.8413856073974639,0.963265306122449,33.55924751400366,18.136600326930154,0.9676453625009375,355.0868644067797,517.1610169491526,0.8114192153908771,0.2661662464998212,0.18698623718103197,0.5672402690992392,0.8235523523809659,0.2661662464998212,0.18698623718103197,0,0,"(0, 0)",7,517.1610169491526,355.0868644067797
311,60.0,25.899494936611667,0.5171227902528145,0.967741935483871,9.425140534113265,8.067083551279621,1.1488436306811534,348.51666666666665,1741.2166666666667,1.1240316092611384,0.8961485675072911,0.18352641741267334,0.4095426597521615,0.9122909677526821,0.8961485675072911,0.18352641741267334,2,0,"(0, 2)",8,1741.2166666666667,348.51666666666665
312,482.0,89.11269837220809,0.8623325947259906,0.926923076923077,35.50598940984471,17.97818333543347,-0.010964167188011287,362.5103734439834,1532.5228215767636,0.7627420913517117,0.7887405154795489,0.19089540465717925,0.9999398941210658,-0.010963947516829171,0.7887405154795489,0.19089540465717925,2,0,"(0, 2)",8,1532.5228215767636,362.5103734439834
313,484.0,90.81118318204308,0.860544341518423,0.9029850746268657,35.536344704961046,18.101344617803534,0.7094875874866228,361.6797520661157,501.6115702479339,0.7375246792365862,0.25816344325678536,0.1904580053007455,0.7586957841965635,0.6514450913487349,0.25816344325678536,0.1904580053007455,0,0,"(0, 0)",7,501.6115702479339,361.6797520661157
314,237.0,58.2842712474619,0.68977145544537,0.9367588932806324,20.56759573310045,14.891498080562496,1.1595608888564723,354.5189873417722,1362.1350210970463,0.876709007635334,0.701047360317574,0.18668719712573575,0.399742069354775,0.9166276659516459,0.701047360317574,0.18668719712573575,2,0,"(0, 2)",4,1362.1350210970463,354.5189873417722
315,347.0,73.94112549695429,0.8481547253647218,0.9327956989247311,29.135504815230693,15.434492408759827,-1.0948972883569137,358.04899135446686,1198.0691642651298,0.7975670892662146,0.6166079074962068,0.18854607232989304,0.4581377705841233,-0.8888811974410356,0.6166079074962068,0.18854607232989304,1,0,"(0, 1)",4,1198.0691642651298,358.04899135446686
316,878.0,128.95331880577402,0.9080771763789625,0.9089026915113871,53.0385573135694,22.212699885501554,-0.6292966313559532,369.51708428246013,375.4419134396355,0.6634975633124006,0.1932279533914748,0.194585089142949,0.8084416943508391,-0.5885762710432221,0.1932279533914748,0.194585089142949,0,0,"(0, 0)",7,375.4419134396355,369.51708428246013
317,432.0,87.59797974644667,0.8886735658583591,0.9515418502202643,34.967988389924855,16.034235189524082,-1.0452048256273505,361.0162037037037,438.5416666666667,0.7074657676169369,0.22570337965345685,0.1901085854153258,0.5017247570851224,-0.8650273221857647,0.22570337965345685,0.1901085854153258,0,0,"(0, 0)",7,438.5416666666667,361.0162037037037
318,375.0,78.18376618407356,0.8712898060831555,0.9328358208955224,31.451389967962886,15.435362795823075,-1.127644440214035,359.9893333333333,1850.808,0.7709175948856847,0.952551724137931,0.18956784272424082,0.42878901924828894,-0.903404658484829,0.952551724137931,0.18956784272424082,2,0,"(0, 2)",8,1850.808,359.9893333333333
319,365.0,69.698484809835,0.6328165564968387,0.9656084656084656,24.554034145211688,19.012231699690638,-0.20213113582553194,361.8684931506849,1933.0164383561644,0.944182734366518,0.9948617799053857,0.19055739502405736,0.979640961230537,-0.200757533057441,0.9948617799053857,0.19055739502405736,2,0,"(0, 2)",8,1933.0164383561644,361.8684931506849
320,267.0,74.42640687119285,0.9506918300761487,0.9050847457627119,33.84097517035831,10.495343178805799,-0.5378623756675052,365.3895131086142,1135.1573033707866,0.60571317442361,0.584229183412654,0.19241153928836977,0.8588057505103189,-0.5123013594461835,0.584229183412654,0.19241153928836977,1,0,"(0, 1)",4,1135.1573033707866,365.3895131086142
321,554.0,86.76955262170046,0.6717708421363897,0.9719298245614035,31.04061013528556,22.99361215236195,-0.13880199373941507,364.92238267148014,1341.442238267148,0.9246660496623027,0.6903974463546825,0.1921655516964087,0.9903824591092929,-0.1383567298277527,0.6903974463546825,0.1921655516964087,2,0,"(0, 2)",4,1341.442238267148,364.92238267148014
322,374.0,72.18376618407356,0.6530552703082129,0.9516539440203562,25.305105732816983,19.163815934889044,0.06769625732850636,364.89572192513367,48.893048128342244,0.9019913879801196,0.025163689206558027,0.1921515123355101,0.9977094833174562,0.06764456296269883,0.025163689206558027,0.1921515123355101,0,0,"(0, 0)",1,48.893048128342244,364.89572192513367
323,376.0,83.52691193458118,0.8841477758497456,0.9038461538461539,33.23297470542122,15.526690135995437,-1.3504774160550586,361.72872340425533,1878.875,0.6772435196161335,0.9669969119917653,0.19048379326185114,0.2185408361557467,-0.9758278039348679,0.9669969119917653,0.19048379326185114,2,0,"(0, 2)",8,1878.875,361.72872340425533
324,318.0,63.698484809834994,0.20791855802721496,0.9695121951219512,20.39177757005169,19.94613853905498,1.4200183668953104,364.52515723270443,281.8679245283019,0.9848697085417878,0.1450684120063314,0.19195637558330933,0.15020731142292135,0.9886545218604411,0.1450684120063314,0.19195637558330933,0,0,"(0, 0)",7,281.8679245283019,364.52515723270443
325,379.0,73.94112549695429,0.7548210379681272,0.969309462915601,27.228796138459483,17.86020574878692,-0.7752996615494187,365.2664907651715,1024.6833773087071,0.8711179447605051,0.5273717845129733,0.192346756590401,0.7142113239793296,-0.6999301284411845,0.5273717845129733,0.192346756590401,1,0,"(0, 1)",4,1024.6833773087071,365.2664907651715
326,305.0,66.2842712474619,0.4326393576768785,0.9327217125382263,20.94830591967464,18.88630284151853,-0.0799212182177454,365.44262295081967,1660.9081967213115,0.8723459148924395,0.8548163647562077,0.1924395065565138,0.9968079990312727,-0.07983616390627893,0.8548163647562077,0.1924395065565138,2,0,"(0, 2)",8,1660.9081967213115,365.44262295081967
327,550.0,85.01219330881975,0.4502386919505555,0.975177304964539,28.035130708051152,25.032799143510633,0.5311778780874323,369.12545454545455,1490.3327272727272,0.9563351341835641,0.7670266223740233,0.19437885968691657,0.8622110154795681,0.5065492718242638,0.7670266223740233,0.19437885968691657,2,0,"(0, 2)",8,1490.3327272727272,369.12545454545455
328,235.0,63.698484809834994,0.9027177640351789,0.9325396825396826,26.54991863983151,11.42265744701212,-1.2642969184989357,363.53617021276597,929.8170212765957,0.7278125204632708,0.4785471030759628,0.1914355819972438,0.3017230431438301,-0.9533956184271178,0.4785471030759628,0.1914355819972438,1,0,"(0, 1)",4,929.8170212765957,363.53617021276597
329,229.0,59.38477631085023,0.696398385736598,0.9087301587301587,20.541537926050026,14.741745834388757,0.9496247788669061,367.6113537117904,1359.4847161572052,0.8160092776683338,0.6996833330711298,0.19358154487192755,0.5819882591962628,0.8131971877458157,0.6996833330711298,0.19358154487192755,2,0,"(0, 2)",4,1359.4847161572052,367.6113537117904
330,356.0,89.7401153701776,0.9514543200001968,0.8578313253012049,39.711288905223505,12.222737151080796,0.7747927931668486,373.80056179775283,495.10393258426967,0.5555032638054471,0.2548141701411578,0.19684073817680509,0.7145660046702554,0.6995680274066194,0.2548141701411578,0.19684073817680509,0,0,"(0, 0)",7,495.10393258426967,373.80056179775283
331,620.0,100.42640687119284,0.8760459379852048,0.9567901234567902,40.563881722940955,19.561025699443555,1.206495317719034,369.6967741935484,853.1306451612903,0.7725128364134167,0.43907907625388076,0.19467971258217398,0.3562962632983832,0.9343730372606056,0.43907907625388076,0.19467971258217398,1,0,"(0, 1)",7,853.1306451612903,369.6967741935484
332,344.0,68.18376618407356,0.5141082613246348,0.9555555555555556,22.644460765040073,19.422726974019092,-0.6935559350870976,369.5261627906977,966.8255813953489,0.929835952361527,0.4975942261427426,0.1945898698213258,0.7689776587945587,-0.6392756528093647,0.4975942261427426,0.1945898698213258,1,0,"(0, 1)",4,966.8255813953489,369.5261627906977
333,514.0,87.84062043356595,0.7631269821009172,0.9500924214417745,32.35340131224222,20.9083392065755,-0.3822991099092945,374.61867704280155,399.73929961089493,0.8371093519833622,0.20573304148785124,0.19727155189194395,0.9278093949849369,-0.37305458927305174,0.20573304148785124,0.19727155189194395,0,0,"(0, 0)",7,399.73929961089493,374.61867704280155
334,616.0,98.91168824543142,0.8240790591788962,0.9361702127659575,37.993302085543256,21.522248374219327,-0.9659461122429005,373.6931818181818,1154.2353896103896,0.791216521189882,0.5940480646476529,0.1967841926372732,0.5686388710339007,-0.8225872806877644,0.5940480646476529,0.1967841926372732,1,0,"(0, 1)",4,1154.2353896103896,373.6931818181818
335,174.0,48.04163056034261,0.718768791533055,0.9613259668508287,18.02270043445926,12.530267724721746,0.670158298591232,368.7528735632184,1638.8218390804598,0.9473787386498942,0.843449222378003,0.1941826611707311,0.7837233548536615,0.6211100571210563,0.843449222378003,0.1941826611707311,2,0,"(0, 2)",8,1638.8218390804598,368.7528735632184
336,717.0,97.84062043356595,0.2747107979199476,0.9715447154471545,30.86183468805085,29.67448420514251,-0.27092530709544355,378.5146443514644,818.9121338912134,0.941218865944849,0.42146790215708363,0.19932314078539465,0.9635236753231392,-0.2676231064235481,0.42146790215708363,0.19932314078539465,1,0,"(0, 1)",7,818.9121338912134,378.5146443514644
337,829.0,110.81118318204308,0.7558508703050713,0.9583815028901734,40.46129876075688,26.491785066544608,0.9109448297465356,378.60193003618815,1311.2858866103738,0.848393261579648,0.674876935980635,0.19936910481105222,0.612999529035144,0.7900832724483488,0.674876935980635,0.19936910481105222,2,0,"(0, 2)",4,1311.2858866103738,378.60193003618815
338,366.0,70.18376618407356,0.694363836247822,0.9656992084432717,25.498719328420137,18.349493259864964,-0.9789934888576258,375.29234972677597,1045.2431693989072,0.9337220404007058,0.5379532523926439,0.1976263031736577,0.5578581693322822,-0.8299363005130181,0.5379532523926439,0.1976263031736577,1,0,"(0, 1)",4,1045.2431693989072,375.29234972677597
339,566.0,94.18376618407356,0.8300335365610726,0.9386401326699834,36.39162285328268,20.296098702986622,1.533395965605472,375.1095406360424,1613.4187279151943,0.8018150238591342,0.8303750529671612,0.19753003719644152,0.03739164260927427,0.9993006880128624,0.8303750529671612,0.19753003719644152,2,0,"(0, 2)",8,1613.4187279151943,375.1095406360424
340,927.0,113.9827560572969,0.6175437484280689,0.9706806282722513,38.8705730390224,30.573125779379872,1.092323111171948,381.43797195253507,751.7497303128371,0.8966259221568466,0.38690155960516576,0.20086254447210905,0.4604243878571914,0.88769892591257,0.38690155960516576,0.20086254447210905,1,0,"(0, 1)",7,751.7497303128371,381.43797195253507
