idx1,idx2,distance,cluster_id,cell_id_1,cell_id_2,area_1,area_2,perimeter_1,perimeter_2,roundness_1,roundness_2,eccentricity_1,eccentricity_2,solidity_1,solidity_2,major_axis_length_1,major_axis_length_2,minor_axis_length_1,minor_axis_length_2,residual_px
1293,932,0.4728829142329992,6,1294,933,593.0,590.0,89.01219330881976,87.59797974644665,0.9405146235458933,0.9662148215138726,0.43384270949543613,0.3923411498947269,0.9705400981996727,0.978441127694859,28.976999785755652,28.580214828127,26.10794721028932,26.28864682887147,1.305577196895608
1338,962,0.4830802976157612,6,1339,963,611.0,663.0,94.42640687119285,97.59797974644665,0.8611209316530914,0.8746649759115539,0.6320004487998446,0.6396702932849168,0.9502332814930016,0.9567099567099567,32.128023598103574,33.40636668966472,24.898190848722805,25.67778405484758,3.140953534781911
1465,1066,0.49393754479120555,6,1466,1067,484.0,473.0,79.94112549695429,79.01219330881975,0.95173208109038,0.9521004481300445,0.42766504873483235,0.49503026755645985,0.969939879759519,0.9732510288065843,26.13086402551071,26.369454738529146,23.620662150067943,22.911779235944156,2.247380772207065
1486,1074,0.5211360093360959,6,1487,1075,471.0,523.0,83.01219330881976,87.84062043356593,0.858908683962456,0.8517669087301529,0.773012197296015,0.7745097249624837,0.9553752535496958,0.9543795620437956,30.984493212294254,32.728153026105396,19.656288565206463,20.70258598868397,6.57216402480631
1733,1273,0.5755548217696874,6,1734,1274,173.0,159.0,52.2842712474619,48.87005768508881,0.795268625032018,0.8366065973232494,0.896010358786405,0.8828059112075202,0.9558011049723757,0.9636363636363636,22.349369762848063,20.84466189615633,9.923861022300773,9.791528336338684,2.6828044571937424
158,122,0.44551730564226183,7,159,123,367.0,405.0,78.42640687119285,82.18376618407356,0.7498101101779079,0.7535165720818862,0.7680927046039846,0.7624117704727975,0.8886198547215496,0.8920704845814978,27.551573838265842,28.921337361240685,17.642337821791024,18.714771304784623,7.698617409351285
277,202,0.5159927261727619,7,278,203,506.0,454.0,83.35533905932738,78.52691193458118,0.9151526382721695,0.9251852035595534,0.6281484604359903,0.631518773834082,0.9674952198852772,0.9680170575692963,29.000472207234388,27.412893647598974,22.565079236501045,21.254877282077793,6.526271186456266
7,5,0.5420033609790957,7,8,6,139.0,154.0,44.14213562373095,46.97056274847714,0.8964333036038501,0.8771604828971784,0.8071368682525484,0.8031433678241022,0.9586206896551724,0.9625,17.507647751323603,18.43736354789237,10.335891235338682,10.984719565167156,23.759329576776945
303,213,0.594643902630077,7,304,214,909.0,894.0,132.5685424949238,135.1543289325507,0.6499692103583832,0.6150174833113248,0.9177394086871142,0.924925976767117,0.926605504587156,0.9141104294478528,54.78895797184277,57.11150005898458,21.761245608444465,21.71078012789454,2.9459142718052127
269,197,0.62731693103729,7,270,198,681.0,609.0,97.49747468305833,92.32590180780451,0.9002647422621435,0.8978009071604338,0.6676161301973752,0.6932176099977196,0.9673295454545454,0.9620853080568721,34.17225706336107,32.863939525376196,25.44143937074128,23.685972696485837,4.271074590460902
311,217,0.48686949553600134,8,312,218,482.0,448.0,89.11269837220809,87.35533905932739,0.7627420913517117,0.7377495794192294,0.8623325947259906,0.8591553927135382,0.926923076923077,0.9180327868852459,35.50598940984471,34.577871540407806,17.97818333543347,17.694007762642237,3.981980737900591
462,324,0.6273660159780869,8,463,325,453.0,449.0,82.04163056034263,81.69848480983498,0.8457451178260329,0.8453337348458132,0.7295169747871822,0.7929346335889275,0.9476987447698745,0.9553191489361702,29.41483726598761,30.893164039118016,20.118651699413576,18.823412142271003,6.5745620329228736
561,388,0.6535817886976512,8,562,389,393.0,348.0,73.11269837220809,68.5269119345812,0.9238826023145069,0.9312510708368993,0.6032371640061206,0.6569140427822463,0.9656019656019657,0.9586776859504132,25.160982552010466,24.266916123267144,20.067440097794677,18.296416988390032,2.2583728656238735
379,259,0.7193208564616866,8,380,260,617.0,543.0,95.01219330881976,89.9827560572969,0.8588876157112904,0.8427351563977628,0.7260647567353282,0.7544082023566726,0.9625585023400937,0.9627659574468085,34.03147995442763,32.72692376011766,23.400941648645222,21.482134842932005,7.287100542942879
537,369,0.7401450273710283,8,538,370,171.0,167.0,49.556349186104036,50.62741699796952,0.8749986149223054,0.818756563539872,0.8329511201419084,0.871801928728447,0.9606741573033708,0.9597701149425287,19.8917400726217,20.856380281605777,11.007026229013277,10.216676161638567,12.211774053667623
340,231,0.8409293467421699,8,341,232,609.0,563.0,103.18376618407356,95.59797974644665,0.7187939378389149,0.7741423559868378,0.8740825261627096,0.8803861273662538,0.9485981308411215,0.9558573853989814,40.59439593047864,38.95245520095101,19.719842412178618,18.473497736330547,6.089916015418294
